X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,3,5,86.2,26.2,94.3,5.1,0.19292604501607719,0.4235294117647059,0.7000000000000001,0.0,0.0
7,4,10,2,90.6,35.4,669.1,6.7,0.5080385852090032,0.21176470588235297,0.055555555555555546,0.0,0.0
7,4,10,6,90.6,43.7,686.9,6.7,0.39871382636655955,0.21176470588235297,0.09999999999999998,0.0,0.0
8,6,3,5,91.7,33.3,77.5,9.0,0.1961414790996785,0.9647058823529411,0.39999999999999997,0.2,0.0
8,6,3,7,89.3,51.3,102.2,9.6,0.29581993569131837,0.9882352941176471,0.15555555555555553,0.0,0.0
8,6,8,7,92.3,85.3,488.0,14.7,0.6430868167202572,0.1647058823529412,0.5555555555555556,0.0,0.0
8,6,8,1,92.3,88.9,495.6,8.5,0.7041800643086817,0.1411764705882353,0.3,0.0,0.0
8,6,8,1,91.5,145.4,608.2,10.7,0.18649517684887462,0.8352941176470587,0.2,0.0,0.0
8,6,9,2,91.0,129.5,692.6,7.0,0.35048231511254024,0.5647058823529412,0.5555555555555556,0.0,0.0
7,5,9,6,92.5,88.0,698.6,7.1,0.662379421221865,0.29411764705882354,0.39999999999999997,0.0,0.0
7,5,9,6,92.5,88.0,698.6,7.1,0.5016077170418007,0.4235294117647059,0.7555555555555555,0.0,0.0
7,5,9,6,92.8,73.2,713.0,22.6,0.54983922829582,0.27058823529411763,0.39999999999999997,0.0,0.0
6,5,8,5,63.5,70.8,665.3,0.8,0.47588424437299043,0.6705882352941177,0.7000000000000001,0.0,0.0
6,5,9,1,90.9,126.5,686.5,7.0,0.6141479099678457,0.31764705882352945,0.2,0.0,0.0
6,5,9,3,92.9,133.3,699.6,9.2,0.7781350482315113,0.07058823529411767,0.45555555555555555,0.0,0.0
6,5,9,5,93.3,141.2,713.9,13.9,0.6655948553054662,0.34117647058823525,0.5555555555555556,0.0,0.0
5,5,3,6,91.7,35.8,80.8,7.8,0.414790996784566,0.1411764705882353,0.5555555555555556,0.0,0.0
8,5,10,1,84.9,32.8,664.2,3.0,0.46623794212218655,0.37647058823529417,0.5000000000000001,0.0,0.0
6,4,3,3,89.2,27.9,70.8,6.3,0.4405144694533763,0.23529411764705882,0.39999999999999997,0.0,0.0
6,4,4,6,86.3,27.4,97.1,5.1,0.22829581993569137,0.34117647058823525,0.45555555555555555,0.0,0.0
6,4,9,2,91.0,129.5,692.6,7.0,0.5176848874598072,0.29411764705882354,0.25555555555555554,0.0,0.0
5,4,9,1,91.8,78.5,724.3,9.2,0.5434083601286175,0.27058823529411763,0.25555555555555554,0.0,0.0
7,4,6,7,94.3,96.3,200.0,56.1,0.604501607717042,0.34117647058823525,0.45555555555555555,0.0,0.0
7,4,8,6,90.2,110.9,537.4,6.2,0.5562700964630225,0.32941176470588235,0.6,0.0,0.0
7,4,8,6,93.5,139.4,594.2,20.3,0.6913183279742765,0.2,0.6,0.0,0.0
7,4,8,7,91.4,142.4,601.4,10.6,0.45337620578778143,0.5294117647058822,0.5555555555555556,0.0,0.0
7,4,9,5,92.4,117.9,668.0,12.2,0.5401929260450162,0.22352941176470592,0.6,0.0,0.0
7,4,9,1,90.9,126.5,686.5,7.0,0.5530546623794212,0.38823529411764707,0.09999999999999998,0.0,0.0
6,3,9,6,93.4,145.4,721.4,8.1,0.9003215434083602,0.10588235294117648,0.25555555555555554,0.0,0.0
6,3,9,7,93.5,149.3,728.6,8.1,0.662379421221865,0.2823529411764706,0.3555555555555555,0.0,0.0
6,3,9,5,94.3,85.1,692.3,15.9,0.7459807073954985,0.10588235294117648,0.3555555555555555,0.0,0.0
6,3,9,1,88.6,91.8,709.9,7.1,0.28938906752411575,0.7411764705882353,0.7999999999999999,0.0,0.0
6,3,9,5,88.6,69.7,706.8,5.8,0.5916398713826367,0.25882352941176473,0.15555555555555553,0.0,0.0
6,3,9,7,91.7,75.6,718.3,7.8,0.49839228295819943,0.2823529411764706,0.3555555555555555,0.0,0.0
6,3,9,1,91.8,78.5,724.3,9.2,0.6109324758842445,0.2,0.25555555555555554,0.0,0.0
6,3,9,2,90.3,80.7,730.2,6.3,0.5144694533762058,0.5529411764705883,0.45555555555555555,0.0,0.0
6,3,10,2,90.6,35.4,669.1,6.7,0.627009646302251,0.10588235294117648,0.45555555555555555,0.0,0.0
7,4,10,5,90.0,41.5,682.6,8.7,0.2926045016077171,0.5294117647058822,0.5555555555555556,0.0,0.0
7,3,10,6,90.6,43.7,686.9,6.7,0.5016077170418007,0.1411764705882353,0.39999999999999997,0.0,0.0
4,4,3,2,88.1,25.7,67.6,3.8,0.3826366559485531,0.32941176470588235,0.25555555555555554,0.0,0.0
4,4,7,2,79.5,60.6,366.7,1.5,0.6784565916398715,0.25882352941176473,0.3,0.0,0.0
4,4,8,6,90.2,96.9,624.2,8.9,0.5209003215434085,0.31764705882352945,0.7000000000000001,0.0,0.0
4,4,8,2,94.8,108.3,647.1,17.0,0.4630225080385853,0.4588235294117647,0.5555555555555556,0.0,0.0
4,4,9,6,92.5,88.0,698.6,7.1,0.559485530546624,0.38823529411764707,0.25555555555555554,0.0,0.0
4,4,9,3,90.1,82.9,735.7,6.2,0.3440514469453377,0.6941176470588235,0.5000000000000001,0.0,0.0
5,6,9,3,94.3,85.1,692.3,15.9,0.762057877813505,0.10588235294117648,0.39999999999999997,0.0,0.0
5,6,9,1,90.9,126.5,686.5,7.0,0.4019292604501608,0.6470588235294117,0.3555555555555555,0.0,0.0
6,6,7,1,94.2,62.3,442.9,11.0,0.6688102893890677,0.24705882352941178,0.3,0.0,0.0
4,4,3,1,87.2,23.9,64.7,4.1,0.30868167202572355,0.23529411764705882,0.15555555555555553,0.0,0.0
4,4,3,1,87.6,52.2,103.8,5.0,0.28295819935691324,0.36470588235294116,0.6,0.0,0.0
